word,chinese_translation,affect_type,stage_origin,frequency_21215,review_count_21215,example_context
suffering,受苦受难不适,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),2,2,review_90e8ef5965fc9ab5018a2dde :: Great group of people but may be suffering from their own success. The operation appears top notch like others I have reviewed. But they seem to lack the ability to easily manage t...
threaten,受到威胁/令人不安的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),2,2,"review_ce23c1ddd00fe162177658fe :: To be fair, I want to say upfront that this review focuses not only on the provider but also on Trip Advisor (based on the comments of the owner/vendor that Trip Advisor is horribl..."
appalling,令人发指糟糕的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),1,1,New candidate term in corpus: appalling
askance,怀疑斜视地（不信任）,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_cbe4d099bc688920d0a3a2b9 :: My two sisters and I planned a lovely, activity filled Christmas in Kauai. We picked this company for our air tour because of the great reviews. Although the flight was nice (Marcu..."
bluest,最湛蓝的（极致景色）,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_a0e5554c9ea393f975ce70db :: Eric, my son, Tina his wife, and I were happy that we had added a Talkeetna Air Taxi flight that included a glacier landing to our itinerary. That flight was awesome to Mt. Denali,..."
bluntly,直言不讳地,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_23cf34800c98795a842db371 :: So I bought 4 Groupons at $75 for our family (a total of $300) when we visited Miami in June 2012. The booking process was very easy. They answered the phone promptly, had our Grou..."
chaotic,混乱不堪的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),1,1,"review_55ac9eb57f418679510ed1e9 :: This was really difficult to rate.  The experience itself (flying around Denali and landing on a glacier) is a full 5 star experience.  If there was no other operator in Talkeetna,..."
decency,礼貌体面 / 服务缺乏礼貌体面,E2_Appraisal (Stimulus/Service Attribute),Stage 1 (500 Discovery),1,1,"review_af08902c4c1b7326756e9e93 :: In a nutshell, the views of Mckinley were stunning however the pilot, a gentleman from Pennsylvania, exhibited the height of rudeness. And no, I'm not misunderstood. He was blatant..."
disastrous,灾难性糟糕的,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),1,1,New candidate term in corpus: disastrous
disrespectful,无礼的 / 冒犯的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_cbe4d099bc688920d0a3a2b9 :: My two sisters and I planned a lovely, activity filled Christmas in Kauai. We picked this company for our air tour because of the great reviews. Although the flight was nice (Marcu..."
flaky,不靠谱的 / 经常取消的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_07a4d180b1c3927f6d90e08e :: Booked direct, over two months in advance. With only a couple hours to go before our flight they tell us it's cancelled, since not enough people signed up for the time slot. They o..."
grandest,最宏大的 / 极其壮丽的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_f1afb11c14a20df3c0e654e1 :: All I can say is GO. And K2 is the company to GO with.
That's our experience. And what an experience it was...

If you have the means and the wherewithall to
afford this trip, it i..."
grumpy,脾气暴躁的 / 不悦的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_0007fe1c2b3216a8645c4245 :: After being in Alaska for about a week, we were really looking forward to our float plane ride - as we had already seen so many fly by.  We had an absolutely perfect day for flying..."
harsh,严酷恶劣的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_123bf9f58334923a62ba4371 :: We love this air charter tour company and have taken their tours several times while on Kauai. Most of Kauai is not viewable because of the terrain, so seeing the island by air is ..."
hazardous,危险的 / 有隐患的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,review_5bc1dd064ce1bf7325638ddb :: A party of 4 of us took the Grand Voyager tour in June 2008. The cost for 4 people being nearly $1300. You would expect with that sort of price that your tour would be organise pro...
hostile,敌意的 / 恶劣的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_4899b603a9d2f1beb416a798 :: This company does not deliver pleasant experiences.

This company makes guest violently ill and then act aggressively toward the guest in a hostile manner causing the guest to beco..."
immeasurable,无法估量的 / 极致的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_83fe4d7e7dc015a14d52be74 :: The entire experience was beyond our wildest expectations.  Stan, the pilot, and the K2 office staff were very kind and helpful.  The flight scenery is hard to convey with words......"
miraculously,奇迹般地,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,review_f32161287cbdcd87c87a048a :: Heads up for people booking with K2.  They are eager to book (W/ Glacier Landing) any one of 4 Denali flightseeing trips.  The problem is when you get there (in our case after a 2 ...
phenomenally,现象级极致好评地,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),1,1,New candidate term in corpus: phenomenally
quell,镇定 / 平息（恐惧）,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),1,1,"review_f5388b1e976e59c78115bdce :: We came for a flight seeing tour of Denali but due to weather weren’t able to fly that day. I wish I had known to check my email on the morning of the trip, it would have saved me ..."
racist,种族歧视的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,review_585fd4de71474864f99ab2f5 :: I had taken a family summer trip for a half hour seaplane with lake landing. The pilot had a terrible and rude attitude and was not willing to provide any conversation. He seemed t...
regrettably,遗憾地 / 抱歉,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),1,1,"review_aa76425694a5e2a07140dc28 :: We were scheduled to fly over Denali, but weather did not cooperate and pilots had to regrettably cancel flights.  The folks at K2 were very apologetic and understood our disappoin..."
reward,赏心悦目的奖赏体验,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),1,1,"review_62065bd2615e8936538e71b3 :: You cannot go wrong snagging a flight to the Alaska Mountain Range and Denali up close. While it seems like a scary thing to do, I felt safe 100% of the time. The reward was the cl..."
sentiment,情感 / 情绪,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_af98c8cc4e2124c9b58818f6 :: We did the Grand Denali tour with a glacier landing on a cold, rainy Sunday morning. Getting to the airport is easy, checking in was quick, and the prep fort he trip was simple. I ..."
shady,可疑不诚信的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_54ae5b5d8364deffe47809c6 :: My husband and children (18,19) had a great time on this trip!  The early morning plane ride was terrific, and as we had read before, it’s best to sit on the left side of the plane..."
sublimely,极其崇高美妙地,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),1,1,New candidate term in corpus: sublimely
thrillingly,令人刺激无比欢快地,E2_Appraisal (Stimulus/Service Attribute),Stage Final (Full Corpus),1,1,New candidate term in corpus: thrillingly
truthful,真实可信的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,review_f32161287cbdcd87c87a048a :: Heads up for people booking with K2.  They are eager to book (W/ Glacier Landing) any one of 4 Denali flightseeing trips.  The problem is when you get there (in our case after a 2 ...
ungodly,糟糕恶劣的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_53ff5143a41d862350d136a5 :: Having booked a week in Las Vegas over the 4th July weekend, one of our top priorities was to get to see the Grand Canyon. We originally planned on hiring a car and driving there, ..."
unwell,身体不适的,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_ced58d8c691f443c16cbfe37 :: It was beautiful, couldn't see Denali but tried. The pilot was very knowledgeable about glaciers. Some of it was so technical I couldn't follow along but it was really neat. I get ..."
wasbeautiful,美丽动人的（美感）,E1_E2_Candidate,Stage 1 (500 Discovery),1,1,"review_e2dc2a31bed85af6df3536af :: We took the Page to Monument Valley, with Ground Tour in October. It was a lovely sunny day. Started from Page airport, which is very small, easy to find, and very informal. There ..."
whelmed,被深深震撼淹没的,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),1,1,review_73ea364d5cf3ab4aeb05cc52 :: Only negative in th whole trip was the back 2 seats. It was very cramped for me. But the views over whelmed the tight squeeze...
worthful,物有所值的,E2_Appraisal (Stimulus/Service Attribute),Stage 2 (2000 Expansion),1,1,"review_49d6bd5b0908e91752ac4a6c :: Flying over the Denali National Park and landing on the glacier close to highest mountain of North America is definitely a lifetime experience.

The trip is very expensive but wort..."
zing,刺激快感,E1_State (Direct Internal Affective State),Stage 2 (2000 Expansion),1,1,"review_1e0c948582ed23b06a40f486 :: So glad i decided to do this tour at the last minute ! It was A-MA-ZING !!! The pilot was awesome ! Friendly staff :)  Highly recommend when in Talkeetna. 
Bucketlist checked :)..."
